APMC,Commodity,arrivals_in_qtl,min_price,max_price,modal_price,date
Jamkhed,Wheat(Husked),735,1856,2256,2056,2015-04
Jamkhed,Wheat(Husked),46,2132,2268,2200,2016-04
Jamkhed,Gram,931,3175,3397,3286,2015-04
Jamkhed,Gram,521,4088,4833,4460,2016-04
Jamkhed,Pigeon Pea (Tur),191,6825,7452,7143,2016-04
Jamkhed,Soybean,99,3084,3466,3275,2016-04
Jamkhed,Onion,5232,106,1469,788,2015-04
Jamkhed,Onion,7587,100,939,519,2016-04
Kopargaon,Bajri,354,1164,1469,1401,2015-04
Kopargaon,Bajri,388,1603,2018,1750,2016-04
Kopargaon,Wheat(Husked),9668,1302,1713,1529,2015-04
Kopargaon,Wheat(Husked),1028,1486,1861,1652,2016-04
Kopargaon,Sorgum(Jawar),672,1070,1421,1324,2015-04
Kopargaon,Sorgum(Jawar),2038,1445,1974,1770,2016-04
Kopargaon,Maize,389,1156,1257,1226,2015-04
Kopargaon,Maize,284,1373,1445,1418,2016-04
Kopargaon,Gram,2378,3214,3822,3681,2015-04
Kopargaon,Gram,748,4492,5435,5276,2016-04
Kopargaon,Pigeon Pea (Tur),6,4880,4921,4900,2015-04
Kopargaon,Soybean,329,3244,3590,3517,2015-04
Kopargaon,Soybean,175,3728,3950,3893,2016-04
Kopargaon,Chikoo,1107,500,2200,1120,2015-04
Kopargaon,Onion,34179,395,1350,988,2015-04
Kopargaon,Onion,18750,250,845,701,2016-04
Newasa,Bajri,32,1282,1293,1286,2015-04
Newasa,Bajri,2,1750,1750,1750,2016-04
Newasa,Wheat(Husked),575,1450,1511,1481,2015-04
Newasa,Wheat(Husked),135,1608,1900,1667,2016-04
Newasa,Sorgum(Jawar),25,1550,1550,1550,2015-04
Newasa,Sorgum(Jawar),37,1658,1708,1679,2016-04
Newasa,Maize,13,1310,1310,1310,2015-04
Newasa,Gram,180,3200,3271,3229,2015-04
Newasa,Gram,64,4383,4783,4483,2016-04
Newasa,Tamarind,23,1200,1225,1213,2015-04
Newasa,Tamarind,5,2350,2350,2350,2016-04
Newasa-Ghodegaon,Onion,186038,285,1342,977,2015-04
Newasa-Ghodegaon,Onion,231700,200,921,717,2016-04
Parner,Onion,78184,500,1430,965,2015-04
Parner,Onion,144673,300,919,685,2016-04
Pathardi,Cotton,470,3760,3860,3807,2015-04
Pathardi,Bajri,371,1259,1443,1317,2015-04
Pathardi,Bajri,163,1285,1650,1449,2016-04
Pathardi,Wheat(Husked),685,1489,2133,1761,2015-04
Pathardi,Wheat(Husked),343,1583,2133,1855,2016-04
Pathardi,Sorgum(Jawar),734,1528,1783,1648,2015-04
Pathardi,Sorgum(Jawar),682,1573,1935,1740,2016-04
Pathardi,Gram,164,3300,3663,3494,2015-04
Pathardi,Gram,171,3683,4675,4458,2016-04
Pathardi,Onion,3133,238,1433,920,2015-04
Pathardi,Onion,4703,173,1605,696,2016-04
Rahata,Bajri,203,1168,1268,1223,2015-04
Rahata,Bajri,39,1511,1511,1511,2016-04
Rahata,Wheat(Husked),2698,1292,1589,1394,2015-04
Rahata,Wheat(Husked),346,1495,1677,1572,2016-04
Rahata,Sorgum(Jawar),589,1123,1315,1217,2015-04
Rahata,Sorgum(Jawar),543,1442,1611,1541,2016-04
Rahata,Maize,366,1266,1326,1283,2015-04
Rahata,Maize,297,1379,1398,1379,2016-04
Rahata,Gram,950,3335,3694,3557,2015-04
Rahata,Gram,70,4568,4678,4618,2016-04
Rahata,Pigeon Pea (Tur),2,6050,6050,6050,2016-04
Rahata,Ground Nut Pods (Dry),38,2675,2942,2717,2015-04
Rahata,Ground Nut Pods (Dry),2,3200,3200,3200,2016-04
Rahata,Soybean,93,3382,3407,3391,2015-04
Rahata,Soybean,35,3879,3902,3882,2016-04
Rahata,Pomegranate,9318,1500,15413,8565,2015-04
Rahata,Pomegranate,40216,1000,9928,5860,2016-04
Rahata,Lemon,17,6278,6611,6444,2015-04
Rahata,Lemon,14,5773,6091,5955,2016-04
Rahata,Papai,34,344,475,375,2016-04
Rahata,Melon,3,400,400,400,2015-04
Rahata,Ginger (Fresh),31,3125,3417,3242,2015-04
Rahata,Ginger (Fresh),39,1550,2167,1792,2016-04
Rahata,Potato,1467,588,1346,696,2015-04
Rahata,Potato,851,1192,1542,1392,2016-04
Rahata,Beet Root,17,1000,1278,1022,2016-04
Rahata,Ladies Finger,86,1333,2208,1767,2015-04
Rahata,Ladies Finger,83,2136,2955,2564,2016-04
Rahata,Bottle Gourd,196,377,608,462,2015-04
Rahata,Bottle Gourd,60,1655,2180,1930,2016-04
Rahata,Dhemse,1,2000,2000,2000,2016-04
Rahata,Flower,158,1200,1950,1583,2016-04
Rahata,Carrot,9,1650,1713,1650,2015-04
Rahata,Carrot,34,1255,1545,1327,2016-04
Rahata,Cluster Bean,28,2350,2900,2640,2015-04
Rahata,Cluster Bean,16,4889,5444,5000,2016-04
Rahata,Ghevda,9,3938,4063,3938,2015-04
Rahata,Ghevda,7,6143,6286,6143,2016-04
Rahata,Mango(Raw),13,1333,1667,1500,2015-04
Rahata,Mango(Raw),22,2063,2375,2088,2016-04
Rahata,Cucumber,124,500,1478,611,2015-04
Rahata,Cucumber,73,1483,2000,1733,2016-04
Rahata,Onion,107650,222,1467,906,2015-04
Rahata,Onion,64671,100,925,619,2016-04
Rahata,Bitter Gourd,20,2571,2843,2671,2015-04
Rahata,Bitter Gourd,5,6300,6300,6300,2016-04
Rahata,Cabbage,900,5,6,5,2015-04
Rahata,Cabbage,302,417,708,550,2016-04
Rahata,Coriander  ,1400,15,25,18,2016-04
Rahata,Garlic,57,2692,3192,2915,2015-04
Rahata,Garlic,68,4000,5750,4767,2016-04
Rahata,Math (Bhaji),400,20,20,20,2016-04
Rahata,Capsicum,46,1904,2442,2135,2015-04
Rahata,Capsicum,124,1938,2733,2317,2016-04
Rahata,Spinach,250,5,5,5,2015-04
Rahata,Shevga,29,1791,2200,1945,2015-04
Rahata,Shevga,66,608,850,675,2016-04
Rahata,Tomato,281,492,1223,869,2015-04
Rahata,Tomato,287,425,788,558,2016-04
Rahata,Small Gourd,6,2233,2400,2300,2015-04
Rahata,Small Gourd,4,2500,3000,2750,2016-04
Rahata,Brinjal,77,577,977,762,2015-04
Rahata,Brinjal,79,1158,1783,1533,2016-04
Rahata,Green Chilli,133,3500,5692,4554,2015-04
Rahata,Green Chilli,197,4045,6027,5136,2016-04
Rahuri,Bajri,42,1380,1380,1380,2015-04
Rahuri,Wheat(Husked),2403,1402,1498,1450,2015-04
Rahuri,Sorgum(Jawar),18,1583,1583,1583,2015-04
Rahuri,Maize,26,1310,1310,1310,2015-04
Rahuri,Gram,328,3257,3405,3333,2015-04
Rahuri,Chikoo,475,436,2322,1383,2016-04
Rahuri,Pomegranate,496,200,4946,2573,2016-04
Rahuri,Grapes,66,1529,3250,2389,2016-04
Rahuri,Melon,1301,244,1013,631,2016-04
Rahuri,Kharbuj,567,333,2038,1178,2016-04
Rahuri,Onion,123030,100,1389,739,2015-04
Rahuri-Vambori,Bajri,87,1373,1474,1422,2015-04
Rahuri-Vambori,Bajri,20,1716,1763,1739,2016-04
Rahuri-Vambori,Wheat(Husked),2494,1280,1836,1679,2015-04
Rahuri-Vambori,Wheat(Husked),321,1567,1829,1700,2016-04
Rahuri-Vambori,Sorgum(Jawar),830,1255,1500,1377,2015-04
Rahuri-Vambori,Sorgum(Jawar),551,1436,1957,1720,2016-04
Rahuri-Vambori,Maize,54,1275,1278,1276,2015-04
Rahuri-Vambori,Maize,7,1298,1298,1298,2016-04
Rahuri-Vambori,Gram,1089,3433,3690,3561,2015-04
Rahuri-Vambori,Gram,1038,4980,5945,5467,2016-04
Rahuri-Vambori,Matki,1,6500,6500,6500,2016-04
Rahuri-Vambori,Green Gram,3,7600,7600,7600,2015-04
Rahuri-Vambori,Green Gram,7,7033,7356,7194,2016-04
Rahuri-Vambori,Pigeon Pea (Tur),63,4900,5230,5115,2015-04
Rahuri-Vambori,Pigeon Pea (Tur),19,7464,7503,7484,2016-04
Rahuri-Vambori,Ground Nut Pods (Dry),33,3588,3613,3601,2015-04
Rahuri-Vambori,Ground Nut Pods (Dry),1,5001,5001,5001,2016-04
Rahuri-Vambori,Soybean,149,3296,3447,3357,2015-04
Rahuri-Vambori,Soybean,80,3313,3523,3418,2016-04
Rahuri-Vambori,Sunflower,30,2908,2908,2908,2015-04
Rahuri-Vambori,Onion,32627,108,1415,869,2015-04
Rahuri-Vambori,Onion,32938,135,908,515,2016-04
Sangamner,Bajri,883,1359,1629,1540,2015-04
Sangamner,Bajri,1361,1522,1996,1866,2016-04
Sangamner,Wheat(Husked),879,1566,1884,1734,2015-04
Sangamner,Wheat(Husked),958,1635,1909,1796,2016-04
Sangamner,Sorgum(Jawar),268,1950,2121,2054,2015-04
Sangamner,Sorgum(Jawar),714,1845,1953,1891,2016-04
Sangamner,Maize,163,1399,1405,1402,2015-04
Sangamner,Gram,279,3638,3833,3744,2015-04
Sangamner,Gram,606,4698,5344,5087,2016-04
Sangamner,Horse Gram,2,3200,3200,3200,2015-04
Sangamner,Matki,3,7000,7000,7000,2016-04
Sangamner,Green Gram,23,6320,6320,6320,2015-04
Sangamner,Pigeon Pea (Tur),47,7000,7000,7000,2016-04
Sangamner,Soybean,7,4100,4100,4100,2015-04
Sangamner,Soybean,305,3758,3930,3869,2016-04
Sangamner,Pomegranate,832,3522,10565,7250,2015-04
Sangamner,Pomegranate,4480,788,6632,5341,2016-04
Sangamner,Onion,288591,362,1470,908,2015-04
Sangamner,Onion,195815,300,1017,757,2016-04
Sangamner,Tomato,51671,1325,2070,1711,2015-04
Sangamner,Tomato,158630,531,1195,969,2016-04
Shevgaon,Bajri,216,1219,1325,1267,2015-04
Shevgaon,Bajri,508,1556,1832,1832,2016-04
Shevgaon,Wheat(Husked),1472,1280,1631,1549,2015-04
Shevgaon,Wheat(Husked),606,1597,1764,1764,2016-04
Shevgaon,Sorgum(Jawar),1928,1262,1518,1439,2015-04
Shevgaon,Sorgum(Jawar),3194,1741,2033,2033,2016-04
Shevgaon,Gram,1097,3423,3690,3581,2015-04
Shevgaon,Gram,1328,4976,5115,5115,2016-04
Shevgaon,Pigeon Pea (Tur),13,8200,8200,8200,2016-04
Shevgaon,Onion,2847,583,775,775,2016-04
Shevgaon-Bodhegaon,Bajri,887,1087,1225,1156,2015-04
Shevgaon-Bodhegaon,Bajri,564,1520,1704,1704,2016-04
Shevgaon-Bodhegaon,Wheat(Husked),700,1536,1666,1573,2015-04
Shevgaon-Bodhegaon,Wheat(Husked),113,1783,1908,1908,2016-04
Shevgaon-Bodhegaon,Sorgum(Jawar),3503,1382,1501,1439,2015-04
Shevgaon-Bodhegaon,Sorgum(Jawar),2467,1670,1966,1966,2016-04
Shevgaon-Bodhegaon,Gram,620,3213,3509,3348,2015-04
Shevgaon-Bodhegaon,Gram,607,4973,5152,5148,2016-04
Shevgaon-Bodhegaon,Pigeon Pea (Tur),97,4934,5049,4947,2015-04
Shevgaon-Bodhegaon,Pigeon Pea (Tur),17,8360,8560,8560,2016-04
Shrirampur,Bajri,270,1212,1429,1326,2015-04
Shrirampur,Bajri,37,1709,1816,1795,2016-04
Shrirampur,Wheat(Husked),5509,1370,1926,1778,2015-04
Shrirampur,Wheat(Husked),817,1513,2015,1852,2016-04
Shrirampur,Sorgum(Jawar),1221,1390,1840,1667,2015-04
Shrirampur,Sorgum(Jawar),1120,1553,1897,1779,2016-04
Shrirampur,Maize,323,1122,1209,1168,2015-04
Shrirampur,Maize,119,1305,1415,1373,2016-04
Shrirampur,Gram,1842,3250,3678,3551,2015-04
Shrirampur,Gram,906,4470,5433,5307,2016-04
Shrirampur,Pigeon Pea (Tur),10,3995,4145,4059,2015-04
Shrirampur,Pigeon Pea (Tur),8,6588,7113,6813,2016-04
Shrirampur,Black Gram,1,7000,7000,7000,2016-04
Shrirampur,Safflower,1,2401,2401,2401,2015-04
Shrirampur,Soybean,57,3341,3473,3431,2015-04
Shrirampur,Soybean,6,3926,3926,3926,2016-04
Shrirampur,Mango,99,3500,4417,3958,2015-04
Shrirampur,Mango,122,3786,4786,4286,2016-04
Shrirampur,Chikoo,887,1008,1504,1258,2015-04
Shrirampur,Chikoo,629,1130,1639,1387,2016-04
Shrirampur,Pomegranate,17,3500,4500,4000,2015-04
Shrirampur,Pomegranate,78,2591,3591,3091,2016-04
Shrirampur,Grapes,98,2618,3588,3103,2015-04
Shrirampur,Grapes,60,2500,3500,3000,2016-04
Shrirampur,Water Melon,391,692,892,792,2015-04
Shrirampur,Water Melon,332,800,1000,900,2016-04
Shrirampur,Lemon,146,2848,3848,3348,2015-04
Shrirampur,Lemon,80,2761,3739,3250,2016-04
Shrirampur,Mosambi,65,2389,3389,2889,2015-04
Shrirampur,Mosambi,7,2500,3500,3000,2016-04
Shrirampur,Papai,53,800,1023,904,2015-04
Shrirampur,Papai,28,500,700,600,2016-04
Shrirampur,Orange,24,1167,1833,1517,2015-04
Shrirampur,Ginger (Fresh),283,2500,3500,3000,2015-04
Shrirampur,Ginger (Fresh),283,1614,2114,1864,2016-04
Shrirampur,Potato,1950,808,1029,921,2015-04
Shrirampur,Potato,1820,1000,1378,1189,2016-04
Shrirampur,Ladies Finger,183,1435,1930,1683,2015-04
Shrirampur,Ladies Finger,157,1761,2478,2115,2016-04
Shrirampur,Bottle Gourd,84,521,721,621,2015-04
Shrirampur,Bottle Gourd,56,800,1000,900,2016-04
Shrirampur,Flower,143,413,613,513,2015-04
Shrirampur,Flower,114,904,1143,1024,2016-04
Shrirampur,Carrot,6,800,1200,1000,2015-04
Shrirampur,Carrot,27,857,1057,957,2016-04
Shrirampur,Cluster Bean,34,1700,2350,2025,2015-04
Shrirampur,Cluster Bean,28,3500,4389,3944,2016-04
Shrirampur,Ghosali(Bhaji),3,500,700,600,2015-04
Shrirampur,Mango(Raw),79,833,1157,995,2015-04
Shrirampur,Mango(Raw),83,2217,2913,2570,2016-04
Shrirampur,Cucumber,257,550,754,650,2015-04
Shrirampur,Cucumber,166,1065,1513,1289,2016-04
Shrirampur,Onion,104438,200,1395,1032,2015-04
Shrirampur,Onion,90310,100,944,625,2016-04
Shrirampur,Bitter Gourd,48,2364,3155,2782,2015-04
Shrirampur,Bitter Gourd,29,2722,3556,3139,2016-04
Shrirampur,Cabbage,114,308,508,408,2015-04
Shrirampur,Cabbage,87,665,865,765,2016-04
Shrirampur,Garlic,107,2500,3250,2875,2015-04
Shrirampur,Garlic,96,3833,4833,4333,2016-04
Shrirampur,Capsicum,210,1542,2029,1785,2015-04
Shrirampur,Capsicum,166,1543,2043,1793,2016-04
Shrirampur,Shevga,45,1038,1577,1327,2015-04
Shrirampur,Shevga,65,674,874,774,2016-04
Shrirampur,Tomato,900,1471,1958,1715,2015-04
Shrirampur,Tomato,843,787,1039,913,2016-04
Shrirampur,Brinjal,340,904,1179,1042,2015-04
Shrirampur,Brinjal,289,1152,1748,1461,2016-04
Shrirampur,Tamarind,486,1342,1671,1504,2015-04
Shrirampur,Tamarind,435,2450,3000,2740,2016-04
Shrirampur,Fenugreek,1,3400,3400,3400,2015-04
Shrirampur,Fenugreek,1,4021,4021,4021,2016-04
Shrirampur,Green Chilli,323,2917,3958,3438,2015-04
Shrirampur,Green Chilli,488,3500,4500,4000,2016-04
Shrirampur,Mustard,8,3197,3308,3247,2015-04
Shrirampur-Belapur,Wheat(Husked),205,1505,1575,1540,2016-04
Shrirampur-Belapur,Sorgum(Jawar),29,1567,1633,1600,2016-04
Shrirampur-Belapur,Gram,44,4457,4486,4471,2016-04
Ahmednagar,Bajri,24,1615,1615,1615,2015-08
Ahmednagar,Bajri,24,1733,1767,1757,2016-08
Ahmednagar,Wheat(Husked),100,1537,1672,1600,2015-08
Ahmednagar,Wheat(Husked),67,1747,1845,1813,2016-08
Ahmednagar,Sorgum(Jawar),806,1625,2129,1915,2015-08
Ahmednagar,Sorgum(Jawar),869,1659,1965,1822,2016-08
Ahmednagar,Maize,43,1456,1531,1520,2015-08
Ahmednagar,Maize,35,1776,2051,1931,2016-08
Ahmednagar,Cowpea,3,4967,4967,4967,2015-08
Ahmednagar,Gram,385,4268,4526,4408,2015-08
Ahmednagar,Gram,313,5906,6433,6188,2016-08
Ahmednagar,Green Gram,1843,6670,7788,7290,2015-08
Ahmednagar,Green Gram,5913,4475,5414,5010,2016-08
Ahmednagar,Pigeon Pea (Tur),12,5500,6000,5750,2015-08
Ahmednagar,Pigeon Pea (Tur),13,5951,6201,6051,2016-08
Ahmednagar,Black Gram,1,8100,8100,8100,2015-08
Ahmednagar,Green Peas (Dry),307,2154,4923,3558,2016-08
Ahmednagar,Ground Nut Pods (Dry),204,2733,3967,3350,2015-08
Ahmednagar,Ground Nut Pods (Dry),740,3569,4775,4186,2016-08
Ahmednagar,Jaggery,8266,2175,3100,2708,2015-08
Ahmednagar,Lemon,75,840,1620,1230,2015-08
Ahmednagar,Lemon,188,1139,3322,2231,2016-08
Ahmednagar,Ginger (Fresh),25,2000,3300,2650,2015-08
Ahmednagar,Ginger (Fresh),61,1192,2192,1692,2016-08
Ahmednagar,Potato,253,500,867,692,2015-08
Ahmednagar,Potato,3351,1037,1663,1350,2016-08
Ahmednagar,Ladies Finger,209,1300,2300,1840,2015-08
Ahmednagar,Ladies Finger,787,476,2038,1257,2016-08
Ahmednagar,Squash Gourd,331,486,1833,1160,2016-08
Ahmednagar,Bottle Gourd,19,700,1000,850,2015-08
Ahmednagar,Bottle Gourd,257,138,713,425,2016-08
Ahmednagar,Flower,523,1083,2250,1667,2015-08
Ahmednagar,Flower,1149,471,2495,1483,2016-08
Ahmednagar,Carrot,1,3500,3500,3500,2016-08
Ahmednagar,Cluster Bean,41,2900,4300,3600,2015-08
Ahmednagar,Cluster Bean,241,2095,5143,3619,2016-08
Ahmednagar,Ghevda,28,1000,2000,1600,2015-08
Ahmednagar,Ghevda,139,1339,3122,2228,2016-08
Ahmednagar,Ghosali(Bhaji),12,2167,3333,2750,2015-08
Ahmednagar,Ghosali(Bhaji),230,500,1730,1120,2016-08
Ahmednagar,Cucumber,311,883,1433,1158,2015-08
Ahmednagar,Cucumber,1159,138,633,381,2016-08
Ahmednagar,Onion,23523,1955,6680,4635,2015-08
Ahmednagar,Onion,243484,100,1103,804,2016-08
Ahmednagar,Bitter Gourd,120,1875,2875,2375,2015-08
Ahmednagar,Bitter Gourd,326,880,3000,1940,2016-08
Ahmednagar,Cabbage,491,750,1233,992,2015-08
Ahmednagar,Cabbage,720,420,1645,1033,2016-08
Ahmednagar,Coriander  ,4230,5,1,7,2015-08
Ahmednagar,Garlic,58,4400,7400,5900,2015-08
Ahmednagar,Garlic,84,7821,12143,9979,2016-08
Ahmednagar,Capsicum,150,2067,3400,2733,2016-08
Ahmednagar,Spinach,1490,3,6,4,2015-08
Ahmednagar,Tomato,891,717,1267,992,2015-08
Ahmednagar,Tomato,1584,333,1343,838,2016-08
Ahmednagar,Brinjal,141,1033,2033,1533,2015-08
Ahmednagar,Brinjal,366,629,2500,1540,2016-08
Ahmednagar,Tamarind Seed,1,1100,1100,1100,2016-08
Ahmednagar,Green Chilli,435,1833,3833,2833,2015-08
Ahmednagar,Green Chilli,1102,2025,4300,3160,2016-08
Akole,Bajri,12,1400,1800,1625,2015-08
Akole,Bajri,31,1433,2033,1675,2016-08
Akole,Paddy-Unhusked,58,1475,2000,1625,2015-08
Akole,Paddy-Unhusked,93,1500,2200,1700,2016-08
Akole,Wheat(Husked),137,1475,1975,1681,2015-08
Akole,Wheat(Husked),41,1533,2300,1800,2016-08
Akole,Gram,27,3333,4033,3567,2015-08
Akole,Gram,8,5000,6600,6050,2016-08
Akole,Soybean,141,2825,3138,3000,2015-08
Akole,Soybean,87,3250,3525,3425,2016-08
Akole,Onion,8619,1200,5361,3982,2015-08
Akole,Onion,22971,120,1086,682,2016-08
Akole,Tomato,48,200,1125,1000,2015-08
Jamkhed,Bajri,63,1413,1557,1485,2015-08
Jamkhed,Bajri,136,1508,1817,1663,2016-08
Jamkhed,Wheat(Husked),118,1915,2275,2086,2015-08
Jamkhed,Wheat(Husked),21,1650,1900,1775,2016-08
Jamkhed,Sorgum(Jawar),9211,1606,2929,2268,2015-08
Jamkhed,Sorgum(Jawar),11056,1786,2493,2139,2016-08
Jamkhed,Gram,75,3647,3881,3764,2015-08
Jamkhed,Gram,60,4027,5227,4627,2016-08
Jamkhed,Green Gram,73,6000,7500,6750,2015-08
Jamkhed,Green Gram,3,4900,5400,5150,2016-08
Jamkhed,Pigeon Pea (Tur),2,5225,5225,5225,2016-08
Jamkhed,Black Gram,3053,8393,8900,8646,2015-08
Jamkhed,Black Gram,4484,6286,6829,6557,2016-08
Jamkhed,Soybean,30,3200,3463,3331,2015-08
Jamkhed,Soybean,31,3000,3267,3133,2016-08
Jamkhed,Onion,248,1550,4275,2850,2015-08
Jamkhed,Onion,4791,100,957,471,2016-08
Kopargaon,Bajri,198,1367,1509,1453,2015-08
Kopargaon,Bajri,207,1467,1758,1606,2016-08
Kopargaon,Wheat(Husked),583,1434,1592,1542,2015-08
Kopargaon,Wheat(Husked),165,1567,1771,1676,2016-08
Kopargaon,Sorgum(Jawar),30,1310,1337,1335,2015-08
Kopargaon,Sorgum(Jawar),303,1518,1721,1641,2016-08
Kopargaon,Maize,11,1318,1318,1318,2015-08
Kopargaon,Maize,14,1461,1606,1548,2016-08
Kopargaon,Gram,253,3421,4174,4006,2015-08
Kopargaon,Gram,115,4990,6640,5853,2016-08
Kopargaon,Green Gram,73,7225,7888,7681,2015-08
Kopargaon,Soybean,95,2983,3136,3110,2015-08
Kopargaon,Soybean,400,3078,3357,3298,2016-08
Kopargaon,Onion,9745,1588,5025,4306,2015-08
Kopargaon,Onion,80357,225,912,722,2016-08
Newasa,Wheat(Husked),163,1454,1521,1483,2015-08
Newasa,Wheat(Husked),16,1600,1667,1625,2016-08
Newasa,Sorgum(Jawar),1,1800,1800,1800,2015-08
Newasa,Sorgum(Jawar),18,1662,1678,1668,2016-08
Newasa,Maize,5,1330,1330,1330,2015-08
Newasa,Gram,1,3200,3200,3200,2015-08
Newasa-Ghodegaon,Onion,116461,1015,5115,3923,2015-08
Newasa-Ghodegaon,Onion,367777,179,989,686,2016-08
Parner,Onion,8290,2615,5062,4188,2015-08
Parner,Onion,49464,296,894,690,2016-08
Pathardi,Bajri,202,1253,1337,1380,2015-08
Pathardi,Bajri,643,1342,1767,1621,2016-08
Pathardi,Chino,17,3700,4400,4051,2015-08
Pathardi,Wheat(Husked),683,1572,2213,1739,2015-08
Pathardi,Wheat(Husked),90,1554,2223,1870,2016-08
Pathardi,Sorgum(Jawar),201,1550,1728,1612,2015-08
Pathardi,Sorgum(Jawar),838,1594,1861,1712,2016-08
Pathardi,Gram,16,3825,4530,4221,2015-08
Pathardi,Gram,57,5357,6707,6161,2016-08
Pathardi,Green Gram,180,4850,5020,4941,2016-08
Pathardi,Pigeon Pea (Tur),2,4901,6901,5901,2016-08
Pathardi,Onion,636,500,3829,2707,2015-08
Pathardi,Onion,10114,184,903,701,2016-08
Rahata,Bajri,23,1211,1320,1211,2015-08
Rahata,Bajri,60,1607,1684,1643,2016-08
Rahata,Wheat(Husked),478,1406,1498,1444,2015-08
Rahata,Wheat(Husked),107,1617,1693,1632,2016-08
Rahata,Sorgum(Jawar),66,1152,1220,1152,2015-08
Rahata,Sorgum(Jawar),98,1474,1474,1474,2016-08
Rahata,Maize,30,1310,1310,1310,2015-08
Rahata,Maize,4,1425,1425,1425,2016-08
Rahata,Gram,40,3538,3660,3542,2015-08
Rahata,Gram,21,5700,6140,5700,2016-08
Rahata,Green Peas (Dry),3,3750,4250,3750,2015-08
Rahata,Green Peas (Dry),9,3500,4167,3667,2016-08
Rahata,Ground Nut Pods (Dry),3,3250,3750,3250,2015-08
Rahata,Ground Nut Pods (Dry),23,3556,4167,3744,2016-08
